Release, File, Size, LocTouched, LocAdded, MaxLocAdded, AvgLocAdded, Nauth, Nfix, Nr, ChgSetSize, Buggy
1,src/test/java/org/apache/avro/test/TestOutputInterceptor.java,25,78,39,39,0,[Douglass Cutting],0,2,25,No
1,src/test/java/org/apache/avro/test/TestSuiteInterceptor.java,25,78,39,39,0,[Douglass Cutting],0,2,25,No
1,src/java/org/apache/avro/generic/GenericFixed.java,7,26,25,24,0,[Douglass Cutting],0,2,74,No
1,src/java/org/apache/avro/reflect/FixedSize.java,17,43,40,30,0,[Douglass Cutting],0,3,81,No
1,src/java/org/apache/avro/specific/SpecificFixed.java,10,30,29,28,0,[Douglass Cutting],0,3,89,No
1,src/java/org/apache/avro/specific/SpecificExceptionBase.java,26,52,48,40,0,[Douglass Cutting],0,4,91,No
1,src/java/org/apache/avro/specific/SpecificRecordBase.java,31,123,86,64,0,[Douglass Cutting],0,5,92,No
1,src/java/org/apache/avro/io/BlockingValueWriter.java,600,622,622,622,0,[Douglass Cutting],0,1,17,No
1,src/test/java/org/apache/avro/io/TestBlockingIO.java,459,587,531,450,0,[Douglass Cutting],0,5,78,No
1,src/java/org/apache/avro/io/BinaryDecoder.java,271,315,308,305,0,[Douglass Cutting],0,4,95,No
1,src/java/org/apache/avro/io/BinaryEncoder.java,217,287,269,266,0,[Douglass Cutting],0,3,93,No
1,src/java/org/apache/avro/io/BlockingBinaryEncoder.java,596,29,13,5,0,[Douglass Cutting],0,4,104,No
1,src/java/org/apache/avro/io/Decoder.java,250,293,51,36,0,[Douglass Cutting],0,5,118,No
1,src/java/org/apache/avro/io/Encoder.java,237,231,41,29,0,[Douglass Cutting],0,4,95,No
1,src/test/java/org/apache/avro/io/TestBinaryDecoder.java,62,58,29,10,0,[Douglass Cutting],0,3,57,No
1,src/java/org/apache/avro/io/ParsingTable.java,364,766,383,383,0,[Douglass Cutting],0,2,36,No
1,src/java/org/apache/avro/io/ResolvingDecoder.java,173,380,292,223,0,[Douglass Cutting],0,3,96,No
1,src/java/org/apache/avro/io/ResolvingTable.java,458,978,489,489,0,[Douglass Cutting],0,2,36,No
1,src/java/org/apache/avro/io/ValidatingDecoder.java,210,638,434,358,0,[Douglass Cutting],0,3,96,No
1,src/java/org/apache/avro/io/ValidatingEncoder.java,183,413,308,225,0,[Douglass Cutting],0,3,96,No
1,src/test/java/org/apache/avro/io/TestParsingTable.java,206,444,222,205,0,[Douglass Cutting],0,3,40,No
1,src/test/java/org/apache/avro/io/TestResolvingIO.java,195,901,556,343,0,[Douglass Cutting],0,5,77,No
1,src/test/java/org/apache/avro/io/TestResolvingTable.java,390,812,406,389,0,[Douglass Cutting],0,3,40,No
1,src/test/java/org/apache/avro/io/TestValidatingIO.java,833,1347,1098,630,0,[Douglass Cutting],0,6,78,No
1,src/java/org/apache/avro/io/JsonDecoder.java,406,504,464,397,0,[Douglass Cutting],0,5,103,No
1,src/java/org/apache/avro/io/JsonEncoder.java,221,259,249,239,0,[Douglass Cutting],0,4,92,No
1,src/java/org/apache/avro/io/ParsingDecoder.java,57,75,75,74,0,[Douglass Cutting],0,2,83,No
1,src/java/org/apache/avro/io/ParsingEncoder.java,52,70,70,52,0,[Douglass Cutting],0,3,84,No
1,src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,82,106,104,102,0,[Douglass Cutting],0,3,87,No
1,src/java/org/apache/avro/io/parsing/Parser.java,146,170,168,144,0,[Douglass Cutting],0,3,87,No
1,src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,318,340,339,337,0,[Douglass Cutting],0,3,88,No
1,src/java/org/apache/avro/io/parsing/SkipParser.java,74,99,97,94,0,[Douglass Cutting],0,2,83,No
1,src/java/org/apache/avro/io/parsing/Symbol.java,362,384,383,382,0,[Douglass Cutting],0,3,87,No
1,src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,120,141,140,138,0,[Douglass Cutting],0,3,88,No
1,src/test/java/org/apache/avro/io/TestResolvingIO_resolving.java,104,120,120,103,0,[Douglass Cutting],0,2,15,No
1,src/java/org/apache/avro/ipc/RPCContext.java,135,193,175,149,0,[Douglass Cutting],0,3,25,No
